15,2019/6/15,清水,横浜FM,3,2,0,3,1,1,10,10
15,2019/6/15,浦和,鳥栖,2,1,1,1,1,0,11,8
15,2019/6/15,FC東京,神戸,0,1,0,0,0,1,12,9
15,2019/6/15,松本,仙台,0,1,0,0,1,0,11,9
15,2019/6/15,磐田,G大阪,0,0,0,0,0,0,7,12
15,2019/6/15,大分,名古屋,1,1,1,0,0,1,7,16
16,2019/6/22,札幌,鳥栖,3,1,2,1,0,1,10,9
16,2019/6/22,横浜FM,松本,1,0,0,1,0,0,11,7
16,2019/6/22,神戸,大分,2,2,2,0,1,1,14,6
16,2019/6/22,名古屋,清水,1,2,0,1,0,2,10,11
16,2019/6/22,G大阪,湘南,1,0,0,1,0,0,10,9
16,2019/6/22,C大阪,磐田,2,0,1,1,0,0,10,17
16,2019/6/23,仙台,FC東京,2,0,0,2,0,0,18,5
17,2019/6/29,松本,G大阪,1,3,0,1,1,2,15,14
17,2019/6/29,FC東京,横浜FM,4,2,2,2,1,1,7,14
17,2019/6/30,神戸,名古屋,5,3,1,4,0,3,9,18
17,2019/6/30,鹿島,広島,2,2,1,1,1,1,8,11
17,2019/6/30,仙台,札幌,2,1,1,1,1,0,12,11
17,2019/6/30,湘南,C大阪,0,2,0,0,0,2,9,13
17,2019/6/30,磐田,川崎F,1,3,0,1,1,2,11,5
17,2019/6/30,大分,浦和,2,0,0,2,0,0,11,6
17,2019/6/30,鳥栖,清水,4,2,3,1,2,0,12,18
18,2019/7/6,清水,神戸,2,1,1,1,1,0,8,11
18,2019/7/6,鹿島,磐田,2,0,2,0,0,0,3,14
18,2019/7/6,浦和,仙台,1,0,1,0,0,0,14,3
18,2019/7/6,横浜FM,大分,1,0,0,1,0,0,14,2
18,2019/7/6,広島,C大阪,1,1,0,1,1,0,12,7
18,2019/7/7,札幌,松本,1,1,1,0,1,0,14,10
18,2019/7/7,名古屋,湘南,0,2,0,0,1,1,18,8
18,2019/7/7,FC東京,G大阪,3,1,2,1,1,0,6,6
